"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Pages, Andy","681624","32","19",31.3,"104.5","86.2","94.6","89.6","82.1","390","188","378","9",28.1,"2",6.3,3.4
"Bader, Harrison","664056","32","25.3",31.3,"105.3","86.2","97.4","93.7","79.8","394","189","376","13",40.6,"5",15.6,11.1
"Hoskins, Rhys","656555","32","22.4",43.8,"107.6","89.7","99.3","94","81.3","385","196",,"15",46.9,"1",3.1,1.9
"Conforto, Michael","624424","32","16",37.5,"108.4","88","99.4","90.4","86.4","419","174","408","13",40.6,"4",12.5,6.5
"Hernández, Enrique","571771","32","16.9",25,"109.8","91.5","102.1","97.7","83.1","412","182","384","14",43.8,"5",15.6,9.6
"Smith, Will","669257","32","25.5",37.5,"105.5","88.9","98.5","89.9","92","396","176","396","13",40.6,"3",9.4,5.4
"Baldwin, Brooks","681460","32","12.8",34.4,"106.8","90.9","99.1","93.3","90.2","401","134","401","13",40.6,"1",3.1,2.3
"Ozuna, Marcell","542303","32","19.7",43.8,"109.8","95.6","103.7","98.4","91.6","425","202","411","17",53.1,"3",9.4,4.6
"Sheets, Gavin","657757","32","19.9",50,"109.8","91.1","101","97.6","79.7","405","190","388","16",50,"3",9.4,6.4
"Realmuto, J.T.","592663","32","7.9",46.9,"107","89.2","100.3","94.7","82.4","353","159",,"15",46.9,"2",6.3,3.9
"Pederson, Joc","592626","31","10.8",12.9,"109.3","90.6","98.4","92.4","90.3","391","131",,"10",32.3,"1",3.2,2
"Abrams, CJ","682928","31","16.4",29,"112.7","92.8","101.7","95.6","89.7","414","162","391","12",38.7,"5",16.1,10.9
"Heyward, Jason","518792","31","18.7",22.6,"108.9","84.8","95.7","88.8","82.6","410","150","410","8",25.8,"2",6.5,4.5
"Urshela, Gio","570482","31","9.3",41.9,"103.5","89.9","98.1","93.2","86.1","378","156",,"12",38.7,"0",0,0
"Wagner, Will","695238","31","12.6",32.3,"102.7","87.7","97.5","90.5","86.1","380","139",,"12",38.7,"1",3.2,2.2
"Isbel, Kyle","664728","31","16.5",29,"107.1","83.8","95.3","90.4","81.8","401","138","401","5",16.1,"1",3.2,2.3
"Raley, Luke","670042","31","4.3",25.8,"114.3","87.7","102.3","86.8","88.8","358","122","358","13",41.9,"2",6.5,4.1
"Arias, Gabriel","672356","31","1.9",32.3,"109.7","87.8","103","98.1","83.4","400","111","394","15",48.4,"3",9.7,5.9
"Toglia, Michael","669911","31","8.9",25.8,"109.6","91","101.9","91.6","90.4","397","149",,"15",48.4,"2",6.5,3.2
"Merrill, Jackson","701538","31","12.4",51.6,"110.9","93.1","102.6","96.9","87.1","411","192","401","15",48.4,"7",22.6,17.1
"Julien, Edouard","666397","31","2.4",45.2,"110.1","89.1","100","99.3","79.6","405","160","361","13",41.9,"5",16.1,10.9
"Pagés, Pedro","686780","30","15.7",40,"107.5","88.6","100","91","85.9","399","187","399","10",33.3,"2",6.7,5.1
"O'Hoppe, Logan","681351","30","23.9",46.7,"111.1","91.3","103.6","94.5","88.1","417","240","400","16",53.3,"7",23.3,14.3
"Walls, Taylor","670764","30","12.5",10,"102.8","86.4","94.8","90.1","85.9","354","111",,"6",20,"0",0,0
